kabupaten,fase1,fase2,fase3,fase4
Aceh Barat,17.2748,44.9303,32.9602,37.2416
Aceh Barat Daya,22.8576,25.639,25.7085,28.5099
Aceh Besar,18.7549,58.619,29.4337,40.8178
Aceh Jaya,5.7715,7.798,3.894,4.1523
Aceh Selatan,5.1059,6.9139,2.9801,3.6954
Aceh Singkil,13.1622,32.1853,5.4238,7.8775
Aceh Tamiang,9.8046,91.0726,26.0562,21.5264
Aceh Tengah,0.0,0.9238,1.0828,1.0132
Aceh Tenggara,2.2947,5.8609,5.7616,6.7649
Aceh Timur,36.288,106.3805,35.3045,40.0032
Aceh Utara,63.725,305.0455,112.9765,98.0858
Bener Meriah,0.0,0.2781,0.8245,0.4768
Bireuen,14.2947,50.7813,28.1522,33.9833
Gayo Lues,0.0,0.9735,1.7185,1.7881
Kota Banda Aceh,0.0,0.1887,0.0795,0.0
Kota Langsa,2.9404,5.3841,3.7848,4.8973
Kota Lhokseumawe,0.2881,7.6391,2.9503,2.6126
Kota Sabang,0.0,0.0,0.0,0.0
Kota Subulussalam,6.0497,21.7847,2.7914,5.5132
Nagan Raya,3.6358,12.8741,6.4073,8.5331
Pidie,58.1422,97.4898,41.7118,87.6554
Pidie Jaya,8.3642,22.8377,7.5596,10.9271
Simeulue,0.2185,0.5265,0.2285,0.3775
TOTAL,288.97279999999995,906.1264000000002,377.79030000000006,446.45239999999995
