kabupaten,fase1,fase2,fase3,fase4
Agam,2.1999,30.3426,7.5113,7.4717
Dharmasraya,0.0,3.0125,6.9465,0.8126
Kepulauan Mentawai,0.8324,0.0,1.1594,0.1784
Kota Bukittinggi,0.0,0.0,0.0,0.0
Kota Padang,1.536,1.5062,0.654,2.7845
Kota Padang Panjang,0.0,0.0,0.0,0.0
Kota Pariaman,0.6738,1.4765,0.6738,1.0504
Kota Payakumbuh,0.0,0.4063,0.4757,0.3666
Kota Sawahlunto,0.0,0.0,0.0,0.0
Kota Solok,0.0,0.0,0.0,0.0
Lima Puluh Kota,0.0,0.0,0.1586,0.4657
Padang Pariaman,2.7548,4.7862,0.8324,0.545
Pasaman,1.2486,4.4097,0.6441,0.7531
Pasaman Barat,3.1908,32.8893,1.7143,1.7837
Pesisir Selatan,14.5272,18.0549,13.2588,9.4833
Sijunjung,0.0,0.0,0.2477,0.0
Solok,0.0793,1.7143,1.2387,1.3873
Solok Selatan,0.0,0.0,0.3072,0.1586
Tanah Datar,0.3666,0.6639,0.8621,0.8621
TOTAL,27.4094,99.2624,36.6846,28.103
