kabupaten,fase1,fase2,fase3,fase4
Asahan,12.5027,29.272,27.3021,35.2314
Batu Bara,10.8397,34.5582,19.7688,21.5605
Dairi,0.4851,0.495,0.4455,0.1386
Deli Serdang,45.0019,87.6181,58.3163,34.0929
Humbang Hasundutan,0.3366,0.8018,2.3263,3.3261
Karo,2.4055,3.3459,4.6724,4.6922
Kota Binjai,0.8117,0.5346,0.0198,0.0099
Kota Gunungsitoli,0.0,0.0,0.0,0.0
Kota Medan,0.0,0.9008,0.1089,0.2475
Kota Padang Sidempuan,1.0295,0.6434,0.6039,0.2871
Kota Pematangsiantar,0.0,0.0,0.0,0.2376
Kota Sibolga,0.0,0.0,0.0,0.0
Kota Tanjung Balai,0.0,0.0,0.0,0.0
Kota Tebing Tinggi,0.3366,0.2277,0.0495,0.0495
Labuhanbatu,0.6138,17.0465,2.4451,1.2473
Labuhanbatu Selatan,0.0792,3.7518,4.6229,5.1278
Labuhanbatu Utara,3.1579,27.3912,7.5531,4.2171
Langkat,28.5593,82.5497,64.5727,50.0604
Mandailing Natal,7.1769,41.8836,4.5635,6.5137
Nias,0.0,0.2475,0.0792,0.0
Nias Barat,0.0,0.1089,0.1188,0.0
Nias Selatan,0.0,0.5049,1.9303,0.0
Nias Utara,0.2475,0.0,0.0,0.0
Padang Lawas,0.8414,2.3362,0.2178,0.1287
Padang Lawas Utara,1.4552,2.0194,0.495,0.4158
Pakpak Bharat,0.0,0.0,0.0,0.0
Samosir,0.0,0.099,0.0792,0.1683
Serdang Bedagai,61.1574,91.7262,76.5012,72.5613
Simalungun,2.9203,3.2865,5.0783,6.088
Tapanuli Selatan,4.5734,19.2045,4.8209,4.7516
Tapanuli Tengah,7.4541,14.6806,8.2362,7.7808
Tapanuli Utara,0.0,0.2475,0.3564,1.3463
Toba,0.0,0.4455,0.2376,1.0097
TOTAL,191.9857,465.92699999999996,295.5217,261.2901
