tanggal,kejadian,kode_kecamatan,kecamatan,kabupaten,provinsi
2025-11-22,BANJIR,11.08.14,Tanah Jambo Aye,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.09,Seunuddon,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.01,Baktya,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.06,Muara Batu,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.18,Langkahan,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.10,Syamtalira Aron,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.08,Samudera,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.19,Baktya Barat,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.23,Lapang,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.02,Dewantara,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.05,Matangkuli,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.26,Banda Baro,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.04,Lhoksukon,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.24,Pirak Timur,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.15,Sawang,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.07,Merah Mulia,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.03,Kutamakmur,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.21,Nibong,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.17,Cot Girek,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.25,Geureudong Pase,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.16,Nisam,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.27,Nisam Antara,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.20,Paya Bakong,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.22,Simpang Keuramat,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.11,Syamtalira Bayu,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.12,Tanah Luas,Aceh Utara,Aceh
2025-11-22,BANJIR,11.08.13,Tanah Pasir.,Aceh Utara,Aceh
2025-11-22,BANJIR,11.03.09,Simpang Ulim,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.06,Nurussalam,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.12,Madat,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.11,Pante Bidari,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.02,Julok,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.21,Darul Ihsan,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.13,Indra Makmur,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.10,Ranto Peureulak,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.04,Birem Bayeun,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.23,Idi Timur,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.15,Banda Alam,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.16,Peudawa,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.18,Peureulak Barat,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.18,Bayeuen,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.17,Peureulak Timur,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.16,Sungai Raya,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.05,Serbajadi,Aceh Timur,Aceh
2025-11-22,BANJIR,11.03.20,Simpang Jernih,Aceh Timur,Aceh
2025-11-22,BANJIR,,Bidadari,Aceh Timur,Aceh
2025-11-22,BANJIR,13.05.01,Lubuk Alung,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.02,Batang Anai,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.11,Sintuk Toboh Gadang,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.10,Ulakan Tapakih,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.04,2x11 Anam Lingkuang,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.17,Anam Lingkuang,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.03,Nan Sabaris,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.06,V Koto Kampung Dalam,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.13,Batang Gasan,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.05,VII Koto,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.15,2x11 Kayu Tanam,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.07,Sungai Geringging,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.09,IV Koto Aia Malintang,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.16,Patamuan,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.08,Sungai Limau,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.14,V Koto Timur,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,13.05.12,VII Koto Padang Sago,Padang Pariaman,Sumatera Barat
2025-11-22,BANJIR,12.13.19,Hutabargot,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.17,Muara Batang Gadis,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.06,Siabu,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.05,Panyabungan Barat,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.04,Panyabungan Selatan,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.18,Ranto Baek,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.15,Batahan,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.16,Natal,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.13,Batang Natal,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.20,Puncak Sorik Marapi,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.09,Lembah Sorik Marapi,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.12,Muara Sipongi,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.08,Kotanopan,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.23,Naga Juang,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.07,Bukit Malintang,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.10,Tambangan,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.11,Ulu Pungkut,Mandailing Natal,Sumatera Utara
2025-11-22,BANJIR,12.13.01,Panyabungan,Mandailing Natal,Sumatera Utara
2025-11-23,BANJIR,11.11.06,Makmur,Bireuen,Aceh
2025-11-23,BANJIR,11.11.03,Peudada,Bireuen,Aceh
2025-11-23,BANJIR,11.11.09,Juli,Bireuen,Aceh
2025-11-23,BANJIR,11.11.10,Jangka,Bireuen,Aceh
2025-11-23,BANJIR,11.11.13,Kota Juang,Bireuen,Aceh
2025-11-23,BANJIR,11.11.05,Peusangan,Bireuen,Aceh
2025-11-23,BANJIR,11.11.01,Samalanga,Bireuen,Aceh
2025-11-23,BANJIR,11.11.02,Jeunieb,Bireuen,Aceh
2025-11-23,BANJIR,11.12.08,Jeumpa,Bireuen,Aceh
2025-11-23,BANJIR,11.11.07,Gandapura,Bireuen,Aceh
2025-11-23,BANJIR,11.11.16,Peusangan Selatan,Bireuen,Aceh
2025-11-23,BANJIR,11.11.15,Peusangan Siblah Krueng,Bireuen,Aceh
2025-11-23,BANJIR,12.05.03,Kuala,Bireuen,Aceh
2025-11-23,BANJIR,11.11.12,Peulimbang,Bireuen,Aceh
2025-11-23,BANJIR,11.11.17,Kuta Blang,Bireuen,Aceh
2025-11-23,BANJIR,11.11.11,Simpang Mamplam,Bireuen,Aceh
2025-11-23,BANJIR,11.11.08,Pandrah,Bireuen,Aceh
2025-11-23,BANJIR,13.04.01,X Koto,Tanah Datar,Sumatera Barat
2025-11-23,BANJIR,13.04.02,Batipuh,Tanah Datar,Sumatera Barat
2025-11-23,BANJIR,13.04.14,Batipuh Selatan,Tanah Datar,Sumatera Barat
2025-11-23,BANJIR,13.04.09,Pariangan,Tanah Datar,Sumatera Barat
2025-11-23,BANJIR,13.04.04,Lima Kaum,Tanah Datar,Sumatera Barat
2025-11-23,BANJIR,13.04.03,Rambatan,Tanah Datar,Sumatera Barat
2025-11-23,BANJIR,13.04.08,Sungai Tarab,Tanah Datar,Sumatera Barat
2025-11-23,BANJIR,13.04.13,Lintau Buo Utara,Tanah Datar,Sumatera Barat
2025-11-23,BANJIR,13.04.05,Tanjung Emas,Tanah Datar,Sumatera Barat
2025-11-23,BANJIR,13.04.11,Padang Ganting,Tanah Datar,Sumatera Barat
2025-11-23,BANJIR,13.04.07,Sungayang,Tanah Datar,Sumatera Barat
2025-11-23,BANJIR,13.04.06,Lintau Buo,Tanah Datar,Sumatera Barat
2025-11-23,BANJIR,13.06.11,Palembayan,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.13,Ampek Nagari,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.10,Palupuh,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.16,Malalak,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.04,Matur,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.03,Tanjung Raya,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.06,Banuhampu,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.05,IV Koto,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.02,Lubuk Basung,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.15,Kamang Magek,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.09,Tilatang Kamang,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.12,Sungai Pua,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.08,Baso,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.07,Ampek Angkek,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.14,Canduang,Agam,Sumatera Barat
2025-11-23,BANJIR,13.06.01,Tanjung Mutiara,Agam,Sumatera Barat
2025-11-23,BANJIR,12.01.03,Pandan,Tapanuli Tengah,Sumatera Utara
2025-11-23,BANJIR,12.01.20,Sarudik,Tapanuli Tengah,Sumatera Utara
2025-11-23,BANJIR,12.01.15,Badiri,Tapanuli Tengah,Sumatera Utara
2025-11-23,BANJIR,12.01.06,Kolang,Tapanuli Tengah,Sumatera Utara
2025-11-23,BANJIR,12.01.19,Lumut,Tapanuli Tengah,Sumatera Utara
2025-11-23,BANJIR,12.01.01,Barus,Tapanuli Tengah,Sumatera Utara
2025-11-23,BANJIR,12.01.02,Sorkam,Tapanuli Tengah,Sumatera Utara
2025-11-23,BANJIR,12.01.04,Pinangsori,Tapanuli Tengah,Sumatera Utara
2025-11-23,BANJIR,12.01.08,Sibangun,Tapanuli Tengah,Sumatera Utara
2025-11-23,BANJIR,12.01.07,Tapian Nauli,Tapanuli Tengah,Sumatera Utara
2025-11-24,BANJIR,11.01.05,Meukek,Aceh Selatan,Aceh
2025-11-24,BANJIR,11.01.17,Kota Bahagia,Aceh Selatan,Aceh
2025-11-24,BANJIR,11.01.01,Bakongan,Aceh Selatan,Aceh
2025-11-24,BANJIR,11.01.06,Samadua,Aceh Selatan,Aceh
2025-11-24,BANJIR,11.01.18,Trumon Tengah,Aceh Selatan,Aceh
2025-11-24,BANJIR,11.01.09,Trumon,Aceh Selatan,Aceh
2025-11-24,BANJIR,11.01.03,Kluet Selatan,Aceh Selatan,Aceh
2025-11-24,BANJIR,11.01.16,Trumon Timur,Aceh Selatan,Aceh
2025-11-24,BANJIR,11.01.07,Sawan,Aceh Selatan,Aceh
2025-11-24,BANJIR,13.77.01,Pariaman Tengah,Kota Pariaman,Sumatera Barat
2025-11-24,BANJIR,13.77.03,Pariaman Selatan,Kota Pariaman,Sumatera Barat
2025-11-24,BANJIR,13.77.04,Pariaman Timur,Kota Pariaman,Sumatera Barat
2025-11-24,BANJIR,13.77.02,Pariaman Utara,Kota Pariaman,Sumatera Barat
2025-11-24,BANJIR,13.01.07,Koto XI Tarusan,Pesisir Selatan,Sumatera Barat
2025-11-24,BANJIR,13.01.06,Bayang,Pesisir Selatan,Sumatera Barat
2025-11-24,BANJIR,13.01.12,IV Nagari Bayang Utara,Pesisir Selatan,Sumatera Barat
2025-11-24,BANJIR,13.01.05,IV Jurai,Pesisir Selatan,Sumatera Barat
2025-11-24,BANJIR,13.01.04,Batang Kapas,Pesisir Selatan,Sumatera Barat
2025-11-24,BANJIR,13.01.08,Sutera,Pesisir Selatan,Sumatera Barat
2025-11-24,BANJIR,13.01.03,Lengayang,Pesisir Selatan,Sumatera Barat
2025-11-24,BANJIR,13.01.01,Pancung Soal,Pesisir Selatan,Sumatera Barat
2025-11-24,BANJIR,13.01.13,Air Pura,Pesisir Selatan,Sumatera Barat
2025-11-24,BANJIR,13.01.02,Ranah Pesisir,Pesisir Selatan,Sumatera Barat
2025-11-24,BANJIR,13.01.09,Linggo Sari Baganti,Pesisir Selatan,Sumatera Barat
2025-11-24,BANJIR,13.71.11,Koto Tengah,Kota Padang,Sumatera Barat
2025-11-24,BANJIR,13.71.08,Pauh,Kota Padang,Sumatera Barat
2025-11-24,BANJIR,13.71.07,Lubuk Kilangan,Kota Padang,Sumatera Barat
2025-11-24,BANJIR,13.71.04,Padang Utara,Kota Padang,Sumatera Barat
2025-11-24,BANJIR,13.07.08,Gunung Omeh,Lima Puluh Kota,Sumatera Barat
2025-11-24,BANJIR,13.07.12,Bukit Barisan,Lima Puluh Kota,Sumatera Barat
2025-11-24,BANJIR,13.07.01,Suliki,Lima Puluh Kota,Sumatera Barat
2025-11-24,BANJIR,13.07.04,Luak,Lima Puluh Kota,Sumatera Barat
2025-11-24,BANJIR,13.07.02,Guguak,Lima Puluh Kota,Sumatera Barat
2025-11-24,BANJIR,13.07.11,Mungka,Lima Puluh Kota,Sumatera Barat
2025-11-24,BANJIR,13.07.09,Lareh Sago Halaban,Lima Puluh Kota,Sumatera Barat
2025-11-24,BANJIR,13.07.05,Harau,Lima Puluh Kota,Sumatera Barat
2025-11-24,BANJIR,12.73.01,Sibolga Utara,Kota Sibolga,Sumatera Utara
2025-11-24,BANJIR,12.73.03,Sibolga Selatan,Kota Sibolga,Sumatera Utara
2025-11-24,BANJIR,12.73.04,Sibolga Sambas,Kota Sibolga,Sumatera Utara
2025-11-24,BANJIR,12.73.02,Sibolga Kota,Kota Sibolga,Sumatera Utara
2025-11-24,BANJIR,12.25.05,Mandrehe,Nias Barat,Sumatera Utara
2025-11-24,BANJIR,12.03.31,Angkola Sangkunur,Tapanuli Selatan,Sumatera Utara
2025-11-24,BANJIR,12.03.02,Batang Toru,Tapanuli Selatan,Sumatera Utara
2025-11-24,BANJIR,12.03.29,Muara Batang Toru,Tapanuli Selatan,Sumatera Utara
