system:index,FID,InPoly_FID,MaxSimpTol,MinSimpTol,Shape_Area,Shape_Leng,SimPgnFlag,gid,kdkab,kdprov,kodekab,max,mean,median,min,nmkab,nmprov,periode,sumber,.geo
0,3006,3006,0.00449661,0.00449661,0.001919164,0.353054817,0,5835,18,11,1118,200,132.5220959,130.4452229,4.081632482,PIDIE JAYA,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3639,3639,0.00449661,0.00449661,0.005662018,0.494380351,0,7137,73,11,1173,200,148.5992706,147.6599279,36.36363411,LANGSA,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3550,3550,0.00449661,0.00449661,0.005498556,0.507985538,0,7013,72,11,1172,200,114.8293934,111.5345638,49.39024448,SABANG,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3734,3734,0.00449661,0.00449661,0.011231673,0.542183336,0,7311,75,11,1175,200,138.968597,136.4872906,21.64178988,SUBULUSSALAM,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3700,3700,0.00449661,0.00449661,0.00223166,0.25071484,0,7247,74,11,1174,200,124.7378062,117.5144948,6.836033311,LHOKSEUMAWE,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3380,3380,0.00449661,0.00449661,6.37E-04,0.168632564,0,6727,71,11,1171,200,110.6194483,103.4371195,54.59459689,BANDA ACEH,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2835,2835,0.00449661,0.00449661,0.077808611,1.601781197,0,5372,15,11,1115,200,132.4650306,131.4444898,0,NAGAN RAYA,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2768,2768,0.00449661,0.00449661,0.034484024,0.847509592,0,5220,14,11,1114,200,136.4953002,135.5592644,0,ACEH TAMIANG,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2954,2954,0.00449661,0.00449661,0.005266905,0.379904952,0,5667,17,11,1117,200,122.3796101,119.5125624,0,BENER MERIAH,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2912,2912,0.00449661,0.00449661,0.060005292,1.381922467,0,5562,16,11,1116,200,119.3206657,116.4545671,21.91780716,ACEH JAYA,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2403,2403,0.00449661,0.00449661,0.028567125,1.022238405,0,4517,11,11,1111,200,127.8754071,125.5047087,18.39080409,ACEH UTARA,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2272,2272,0.00449661,0.00449661,0.014112281,0.786417186,0,4240,10,11,1110,200,124.4441762,122.4659045,0,BIREUEN,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2649,2649,0.00449661,0.00449661,0.012473694,0.635838513,0,5021,13,11,1113,200,128.4396827,126.492648,0,GAYO LUES,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2527,2527,0.00449661,0.00449661,0.001443286,0.286360879,0,4790,12,11,1112,200,143.7336797,147.4993301,0,ACEH BARAT DAYA,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1842,1842,0.00449661,0.00449661,0.007156099,0.449641729,0,3459,8,11,1108,200,115.2804954,111.5174077,21.03538657,ACEH BESAR,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1741,1741,0.00449661,0.00449661,0.007172029,0.362819187,0,3255,7,11,1107,200,130.3176615,127.4429754,0,ACEH BARAT,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2046,2046,0.00449661,0.00449661,0.046335211,1.312954354,0,3817,9,11,1109,200,125.5753043,123.4791821,0,PIDIE,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,863,863,0.00449661,0.00449661,0.058293476,1.690355904,0,1656,4,11,1104,200,138.2626794,139.573236,0,ACEH TENGGARA,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,535,535,0.00449661,0.00449661,0.024731748,0.687543828,0,1094,3,11,1103,200,142.0604296,143.476742,0,ACEH SELATAN,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1463,1463,0.00449661,0.00449661,0.004185426,0.354889922,0,2674,6,11,1106,200,127.5591379,125.4797268,0,ACEH TENGAH,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1351,1351,0.00449661,0.00449661,0.155882518,1.898379356,0,2482,5,11,1105,200,130.8229071,128.533234,0,ACEH TIMUR,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,191,191,0.00449661,0.00449661,0.022715794,1.979131013,0,484,2,11,1102,200,138.4612848,135.5167056,12.56890875,ACEH SINGKIL,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,31,31,0.00449661,0.00449661,0.013029167,1.148863583,0,45,1,11,1101,200,113.2796667,109.4267439,19.69026525,SIMEULUE,ACEH,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
