system:index,FID,InPoly_FID,MaxSimpTol,MinSimpTol,Shape_Area,Shape_Leng,SimPgnFlag,gid,kdkab,kdprov,kodekab,max,mean,median,min,nmkab,nmprov,periode,sumber,.geo
00000000000000000007,1661,1661,0.00449661023038,0.00449661023038,0.023276632664,0.839703790153,0,3113,07,13,1307,200.0,113.93677984478447,111.5163003241517,0.0,AGAM,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,3736,3736,0.00449661023038,0.00449661023038,9.89443071272E-4,0.171496201617,0,7313,75,13,1375,172.64955976114126,73.21991042693497,70.46397154270826,13.698221199746621,BUKITTINGGI,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,2409,2409,0.00449661023038,0.00449661023038,0.0379503421097,0.948876849803,0,4535,11,13,1311,200.0,112.219062643364,108.48370669749099,0.0,DHARMASRAYA,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,17,17,0.00449661023038,0.00449661023038,0.0687092561219,3.48632364254,0,28,01,13,1301,200.0,105.73644716535894,100.04850444840096,0.0,KEPULAUAN MENTAWAI,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,1826,1826,0.00449661023038,0.00449661023038,0.00855796385706,0.499168053495,0,3441,08,13,1308,200.0,103.93881801795536,100.32876990942992,0.0,LIMA PULUH KOTA,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,3406,3406,0.00449661023038,0.00449661023038,0.00704296630731,0.478462172951,0,6790,71,13,1371,200.0,157.63225380891402,163.52920574186743,58.46153987229934,PADANG,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,3702,3702,0.00449661023038,0.00449661023038,8.26973916348E-4,0.141521012716,0,7249,74,13,1374,,,,,PADANG PANJANG,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,1466,1466,0.00449661023038,0.00449661023038,0.0116592436893,0.545124013827,0,2677,06,13,1306,200.0,112.08147081547396,113.72548905027593,43.07692484037417,PADANG PARIAMAN,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,3788,3788,0.00449661023038,0.00449661023038,0.00141262649274,0.2374330575,0,7386,77,13,1377,,,,,PARIAMAN,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,2198,2198,0.00449661023038,0.00449661023038,0.0334267699895,0.912195930268,0,4054,09,13,1309,200.0,97.4590053833419,93.48570406915233,0.0,PASAMAN,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000,2528,2528,0.00449661023038,0.00449661023038,0.0320555849032,1.22440135527,0,4793,12,13,1312,200.0,99.65139987580514,96.50613773539808,0.0,PASAMAN BARAT,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,3770,3770,0.00449661023038,0.00449661023038,0.00148136060323,0.164337143933,0,7358,76,13,1376,197.32620576530547,76.00005172976539,72.76574809698698,25.89885967199178,PAYAKUMBUH,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,192,192,0.00449661023038,0.00449661023038,0.0375143270968,1.17895292234,0,486,02,13,1302,200.0,118.51565505036798,115.51004440429321,0.0,PESISIR SELATAN,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,3641,3641,0.00449661023038,0.00449661023038,0.00284745557165,0.233266651179,0,7139,73,13,1373,200.0,147.06572712386668,150.36231850673025,33.93393213862959,SAWAH LUNTO,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,1053,1053,0.00449661023038,0.00449661023038,0.0546425203351,1.27872128946,0,1977,04,13,1304,200.0,119.87534492157664,117.4915418064341,0.0,SIJUNJUNG,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,596,596,0.00449661023038,0.00449661023038,0.0184248240056,0.647746843796,0,1195,03,13,1303,200.0,130.07296616899626,130.5388129669908,0.0,SOLOK,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,3552,3552,0.00449661023038,0.00449661023038,0.00322482061994,0.351475565429,0,7015,72,13,1372,115.48387205935668,30.272213889769677,27.97716152302252,6.83823515490265,SOLOK,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,2281,2281,0.00449661023038,0.00449661023038,0.0257489501652,0.882257345542,0,4252,10,13,1310,200.0,124.11041235468302,121.52569081006276,0.0,SOLOK SELATAN,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,1193,1193,0.00449661023038,0.00449661023038,0.00553916755967,0.311153861772,0,2204,05,13,1305,200.0,119.69494474558888,113.55304860239373,19.607843796091338,TANAH DATAR,SUMATERA BARAT,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
