system:index,FID,InPoly_FID,MaxSimpTol,MinSimpTol,Shape_Area,Shape_Leng,SimPgnFlag,gid,kdkab,kdprov,kodekab,max,mean,median,min,nmkab,nmprov,periode,sumber,.geo
00000000000000000000,3769,3769,0.00449661023038,0.00449661023038,0.00258753448112,0.250866092639,0,7357,76,12,1276,200.0,146.91476309426236,145.64339336669582,46.42032575870703,BINJAI,SUMATERA UTARA,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,3735,3735,0.00449661023038,0.00449661023038,0.00134148896155,0.213027412879,0,7312,75,12,1275,200.0,143.26617951924962,138.49311923187824,40.6641813179501,MEDAN,SUMATERA UTARA,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,3803,3803,0.00449661023038,0.00449661023038,0.00577819416596,0.505191140525,0,7401,78,12,1278,200.0,115.20060268112704,105.44196786640464,29.94429173774673,GUNUNGSITOLI,SUMATERA UTARA,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,3787,3787,0.00449661023038,0.00449661023038,0.00308224248934,0.281946955157,0,7385,77,12,1277,200.0,110.0652016560715,104.66298438465527,19.572815385837,PADANGSIDIMPUAN,SUMATERA UTARA,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,3551,3551,0.00449661023038,0.00449661023038,0.00180912165471,0.177734561429,0,7014,72,12,1272,200.0,128.4877235383069,127.2002018109926,59.090907243657696,TANJUNG BALAI,SUMATERA UTARA,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,7178,7178,0.00449661023038,0.00449661023038,4.2283232585E-4,0.11040556855,0,6728,71,12,1271,118.95832940108262,118.87834431714438,118.95832940108262,110.00000000000001,SIBOLGA,SUMATERA UTARA,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,3701,3701,0.00449661023038,0.00449661023038,5.90916921159E-4,0.197485587548,0,7248,74,12,1274,200.0,133.30523630792905,128.44009121228436,62.06581556025187,TEBING TINGGI,SUMATERA UTARA,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,3640,3640,0.00449661023038,0.00449661023038,6.60272573384E-4,0.154099115219,0,7138,73,12,1273,200.0,157.9341490008898,158.4928992918306,67.2519720502264,PEMATANG SIANTAR,SUMATERA UTARA,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,2769,2769,0.00449661023038,0.00449661023038,0.0263096413072,1.25724405314,0,5221,14,12,1214,200.0,100.07047895446732,93.46326476528692,0.0,NIAS SELATAN,SUMATERA UTARA,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,2651,2651,0.00449661023038,0.00449661023038,0.0884841142066,1.5948876237,0,5023,13,12,1213,200.0,146.25516833051512,147.4697494734666,0.0,LANGKAT,SUMATERA UTARA,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,2897,2897,0.00449661023038,0.00449661023038,0.0291211017228,0.933327573423,0,5525,16,12,1216,200.0,125.6242289729015,123.42248309352613,28.40467074068676,PAKPAK BHARAT,SUMATERA UTARA,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,2837,2837,0.00449661023038,0.00449661023038,0.0304030959364,0.997577444292,0,5374,15,12,1215,200.0,117.78038571284021,114.4742996074778,0.0,HUMBANG HASUNDUTAN,SUMATERA UTARA,2019,BPS,"{""type"":""MultiPoint"",""coordinates"":[]}"
