nmkab,date,mean
PIDIE JAYA,2026-01-05,
LANGSA,2026-01-05,
SABANG,2026-01-05,
SUBULUSSALAM,2026-01-05,1.0
LHOKSEUMAWE,2026-01-05,
BANDA ACEH,2026-01-05,
NAGAN RAYA,2026-01-05,
ACEH TAMIANG,2026-01-05,
BENER MERIAH,2026-01-05,
ACEH JAYA,2026-01-05,
ACEH UTARA,2026-01-05,
BIREUEN,2026-01-05,
GAYO LUES,2026-01-05,
ACEH BARAT DAYA,2026-01-05,
ACEH BESAR,2026-01-05,
ACEH BARAT,2026-01-05,
PIDIE,2026-01-05,
ACEH TENGGARA,2026-01-05,0.8570263964242543
ACEH SELATAN,2026-01-05,0.9547034003474808
ACEH TENGAH,2026-01-05,
ACEH TIMUR,2026-01-05,
ACEH SINGKIL,2026-01-05,
SIMEULUE,2026-01-05,
PIDIE JAYA,2026-01-10,
LANGSA,2026-01-10,
SABANG,2026-01-10,
SUBULUSSALAM,2026-01-10,
LHOKSEUMAWE,2026-01-10,
BANDA ACEH,2026-01-10,
NAGAN RAYA,2026-01-10,
ACEH TAMIANG,2026-01-10,
BENER MERIAH,2026-01-10,
ACEH JAYA,2026-01-10,
ACEH UTARA,2026-01-10,
BIREUEN,2026-01-10,
GAYO LUES,2026-01-10,
ACEH BARAT DAYA,2026-01-10,
ACEH BESAR,2026-01-10,
ACEH BARAT,2026-01-10,
PIDIE,2026-01-10,
ACEH TENGGARA,2026-01-10,
ACEH SELATAN,2026-01-10,
ACEH TENGAH,2026-01-10,
ACEH TIMUR,2026-01-10,
ACEH SINGKIL,2026-01-10,
SIMEULUE,2026-01-10,
PIDIE JAYA,2026-01-11,
LANGSA,2026-01-11,
SABANG,2026-01-11,
SUBULUSSALAM,2026-01-11,
LHOKSEUMAWE,2026-01-11,
BANDA ACEH,2026-01-11,
NAGAN RAYA,2026-01-11,
ACEH TAMIANG,2026-01-11,
BENER MERIAH,2026-01-11,
ACEH JAYA,2026-01-11,1.0
ACEH UTARA,2026-01-11,
BIREUEN,2026-01-11,
GAYO LUES,2026-01-11,
ACEH BARAT DAYA,2026-01-11,
ACEH BESAR,2026-01-11,0.8779174147217236
ACEH BARAT,2026-01-11,
PIDIE,2026-01-11,
ACEH TENGGARA,2026-01-11,
ACEH SELATAN,2026-01-11,
ACEH TENGAH,2026-01-11,
ACEH TIMUR,2026-01-11,
ACEH SINGKIL,2026-01-11,
SIMEULUE,2026-01-11,
PIDIE JAYA,2026-01-11,
LANGSA,2026-01-11,
SABANG,2026-01-11,0.8198966569134035
SUBULUSSALAM,2026-01-11,
LHOKSEUMAWE,2026-01-11,
BANDA ACEH,2026-01-11,0.5047902641118591
NAGAN RAYA,2026-01-11,
ACEH TAMIANG,2026-01-11,
BENER MERIAH,2026-01-11,
ACEH JAYA,2026-01-11,
ACEH UTARA,2026-01-11,
BIREUEN,2026-01-11,
GAYO LUES,2026-01-11,
ACEH BARAT DAYA,2026-01-11,
ACEH BESAR,2026-01-11,0.6265369464008594
ACEH BARAT,2026-01-11,
PIDIE,2026-01-11,
ACEH TENGGARA,2026-01-11,
ACEH SELATAN,2026-01-11,
ACEH TENGAH,2026-01-11,
ACEH TIMUR,2026-01-11,
ACEH SINGKIL,2026-01-11,
SIMEULUE,2026-01-11,
PIDIE JAYA,2026-01-13,
LANGSA,2026-01-13,
SABANG,2026-01-13,
