nmkab,date,mean
PASAMAN BARAT,2026-01-07,
DHARMASRAYA,2026-01-07,
SOLOK SELATAN,2026-01-07,
PASAMAN,2026-01-07,
PADANG PARIAMAN,2026-01-07,
TANAH DATAR,2026-01-07,
LIMA PULUH KOTA,2026-01-07,
AGAM,2026-01-07,
PESISIR SELATAN,2026-01-07,
KEPULAUAN MENTAWAI,2026-01-07,0.6111111111111112
SIJUNJUNG,2026-01-07,
SOLOK,2026-01-07,
BUKITTINGGI,2026-01-07,
PADANG PANJANG,2026-01-07,
PARIAMAN,2026-01-07,
PAYAKUMBUH,2026-01-07,
PADANG,2026-01-07,
SAWAH LUNTO,2026-01-07,
SOLOK,2026-01-07,
PASAMAN BARAT,2026-01-07,
DHARMASRAYA,2026-01-07,
SOLOK SELATAN,2026-01-07,
PASAMAN,2026-01-07,
PADANG PARIAMAN,2026-01-07,
TANAH DATAR,2026-01-07,
LIMA PULUH KOTA,2026-01-07,
AGAM,2026-01-07,
PESISIR SELATAN,2026-01-07,
KEPULAUAN MENTAWAI,2026-01-07,0.7438192776491109
SIJUNJUNG,2026-01-07,
SOLOK,2026-01-07,
BUKITTINGGI,2026-01-07,
PADANG PANJANG,2026-01-07,
PARIAMAN,2026-01-07,
PAYAKUMBUH,2026-01-07,
PADANG,2026-01-07,
SAWAH LUNTO,2026-01-07,
SOLOK,2026-01-07,
PASAMAN BARAT,2026-01-07,
DHARMASRAYA,2026-01-07,
SOLOK SELATAN,2026-01-07,
PASAMAN,2026-01-07,
PADANG PARIAMAN,2026-01-07,
TANAH DATAR,2026-01-07,
LIMA PULUH KOTA,2026-01-07,
AGAM,2026-01-07,
PESISIR SELATAN,2026-01-07,0.7318984889992295
KEPULAUAN MENTAWAI,2026-01-07,0.8103538652602378
SIJUNJUNG,2026-01-07,
SOLOK,2026-01-07,
BUKITTINGGI,2026-01-07,
PADANG PANJANG,2026-01-07,
PARIAMAN,2026-01-07,
PAYAKUMBUH,2026-01-07,
PADANG,2026-01-07,
SAWAH LUNTO,2026-01-07,
SOLOK,2026-01-07,
PASAMAN BARAT,2026-01-07,
DHARMASRAYA,2026-01-07,
SOLOK SELATAN,2026-01-07,
PASAMAN,2026-01-07,
PADANG PARIAMAN,2026-01-07,
TANAH DATAR,2026-01-07,
LIMA PULUH KOTA,2026-01-07,
AGAM,2026-01-07,
PESISIR SELATAN,2026-01-07,0.7004220127416129
KEPULAUAN MENTAWAI,2026-01-07,
SIJUNJUNG,2026-01-07,
SOLOK,2026-01-07,
BUKITTINGGI,2026-01-07,
PADANG PANJANG,2026-01-07,
PARIAMAN,2026-01-07,
PAYAKUMBUH,2026-01-07,
PADANG,2026-01-07,
SAWAH LUNTO,2026-01-07,
SOLOK,2026-01-07,
PASAMAN BARAT,2026-01-12,
DHARMASRAYA,2026-01-12,
SOLOK SELATAN,2026-01-12,
PASAMAN,2026-01-12,
PADANG PARIAMAN,2026-01-12,
TANAH DATAR,2026-01-12,
LIMA PULUH KOTA,2026-01-12,
AGAM,2026-01-12,
PESISIR SELATAN,2026-01-12,
KEPULAUAN MENTAWAI,2026-01-12,0.5555555555555556
SIJUNJUNG,2026-01-12,
SOLOK,2026-01-12,
BUKITTINGGI,2026-01-12,
PADANG PANJANG,2026-01-12,
PARIAMAN,2026-01-12,
PAYAKUMBUH,2026-01-12,
PADANG,2026-01-12,
SAWAH LUNTO,2026-01-12,
SOLOK,2026-01-12,
PASAMAN BARAT,2026-01-12,
DHARMASRAYA,2026-01-12,
SOLOK SELATAN,2026-01-12,
PASAMAN,2026-01-12,
PADANG PARIAMAN,2026-01-12,
TANAH DATAR,2026-01-12,
LIMA PULUH KOTA,2026-01-12,
AGAM,2026-01-12,
PESISIR SELATAN,2026-01-12,
KEPULAUAN MENTAWAI,2026-01-12,0.8434248229423524
SIJUNJUNG,2026-01-12,
SOLOK,2026-01-12,
BUKITTINGGI,2026-01-12,
PADANG PANJANG,2026-01-12,
PARIAMAN,2026-01-12,
PAYAKUMBUH,2026-01-12,
PADANG,2026-01-12,
SAWAH LUNTO,2026-01-12,
SOLOK,2026-01-12,
PASAMAN BARAT,2026-01-12,
DHARMASRAYA,2026-01-12,
SOLOK SELATAN,2026-01-12,
PASAMAN,2026-01-12,
PADANG PARIAMAN,2026-01-12,
