nmkab,date,mean
BINJAI,2026-01-05,
MEDAN,2026-01-05,
GUNUNGSITOLI,2026-01-05,
PADANGSIDIMPUAN,2026-01-05,
TANJUNG BALAI,2026-01-05,
SIBOLGA,2026-01-05,
TEBING TINGGI,2026-01-05,
PEMATANG SIANTAR,2026-01-05,
NIAS SELATAN,2026-01-05,
LANGKAT,2026-01-05,0.3181818181818182
PAKPAK BHARAT,2026-01-05,0.9523037595860091
HUMBANG HASUNDUTAN,2026-01-05,
DAIRI,2026-01-05,0.8388788234716021
DELI SERDANG,2026-01-05,
KARO,2026-01-05,0.8213256417572187
LABUHAN BATU,2026-01-05,
TOBA SAMOSIR,2026-01-05,
SIMALUNGUN,2026-01-05,
ASAHAN,2026-01-05,
TAPANULI SELATAN,2026-01-05,
MANDAILING NATAL,2026-01-05,
TAPANULI UTARA,2026-01-05,
TAPANULI TENGAH,2026-01-05,
NIAS,2026-01-05,
DANAU TOBA,2026-01-05,
NIAS BARAT,2026-01-05,
NIAS UTARA,2026-01-05,
PADANG LAWAS,2026-01-05,
PADANG LAWAS UTARA,2026-01-05,
LABUHAN BATU UTARA,2026-01-05,
LABUHAN BATU SELATAN,2026-01-05,
SERDANG BEDAGAI,2026-01-05,
SAMOSIR,2026-01-05,
BATU BARA,2026-01-05,
BINJAI,2026-01-12,
MEDAN,2026-01-12,
GUNUNGSITOLI,2026-01-12,
PADANGSIDIMPUAN,2026-01-12,
TANJUNG BALAI,2026-01-12,
SIBOLGA,2026-01-12,
TEBING TINGGI,2026-01-12,
PEMATANG SIANTAR,2026-01-12,
NIAS SELATAN,2026-01-12,
LANGKAT,2026-01-12,
PAKPAK BHARAT,2026-01-12,
HUMBANG HASUNDUTAN,2026-01-12,
DAIRI,2026-01-12,
DELI SERDANG,2026-01-12,
KARO,2026-01-12,
LABUHAN BATU,2026-01-12,
TOBA SAMOSIR,2026-01-12,
SIMALUNGUN,2026-01-12,
ASAHAN,2026-01-12,
TAPANULI SELATAN,2026-01-12,
MANDAILING NATAL,2026-01-12,
TAPANULI UTARA,2026-01-12,
TAPANULI TENGAH,2026-01-12,
NIAS,2026-01-12,
DANAU TOBA,2026-01-12,
NIAS BARAT,2026-01-12,1.0
NIAS UTARA,2026-01-12,
PADANG LAWAS,2026-01-12,
PADANG LAWAS UTARA,2026-01-12,
LABUHAN BATU UTARA,2026-01-12,
LABUHAN BATU SELATAN,2026-01-12,
SERDANG BEDAGAI,2026-01-12,
SAMOSIR,2026-01-12,
BATU BARA,2026-01-12,
BINJAI,2026-01-12,
MEDAN,2026-01-12,
GUNUNGSITOLI,2026-01-12,
PADANGSIDIMPUAN,2026-01-12,
TANJUNG BALAI,2026-01-12,
SIBOLGA,2026-01-12,
TEBING TINGGI,2026-01-12,
PEMATANG SIANTAR,2026-01-12,
NIAS SELATAN,2026-01-12,
LANGKAT,2026-01-12,
PAKPAK BHARAT,2026-01-12,
HUMBANG HASUNDUTAN,2026-01-12,
DAIRI,2026-01-12,
DELI SERDANG,2026-01-12,
KARO,2026-01-12,
LABUHAN BATU,2026-01-12,
TOBA SAMOSIR,2026-01-12,
SIMALUNGUN,2026-01-12,
ASAHAN,2026-01-12,
TAPANULI SELATAN,2026-01-12,
MANDAILING NATAL,2026-01-12,
TAPANULI UTARA,2026-01-12,
TAPANULI TENGAH,2026-01-12,
NIAS,2026-01-12,
DANAU TOBA,2026-01-12,
NIAS BARAT,2026-01-12,
NIAS UTARA,2026-01-12,
PADANG LAWAS,2026-01-12,
PADANG LAWAS UTARA,2026-01-12,
LABUHAN BATU UTARA,2026-01-12,
LABUHAN BATU SELATAN,2026-01-12,
SERDANG BEDAGAI,2026-01-12,0.6225257647636185
SAMOSIR,2026-01-12,
BATU BARA,2026-01-12,
BINJAI,2026-01-13,
MEDAN,2026-01-13,
GUNUNGSITOLI,2026-01-13,
PADANGSIDIMPUAN,2026-01-13,
TANJUNG BALAI,2026-01-13,
SIBOLGA,2026-01-13,
TEBING TINGGI,2026-01-13,
PEMATANG SIANTAR,2026-01-13,
NIAS SELATAN,2026-01-13,
LANGKAT,2026-01-13,
PAKPAK BHARAT,2026-01-13,
HUMBANG HASUNDUTAN,2026-01-13,
DAIRI,2026-01-13,
DELI SERDANG,2026-01-13,
KARO,2026-01-13,
LABUHAN BATU,2026-01-13,
TOBA SAMOSIR,2026-01-13,
SIMALUNGUN,2026-01-13,
ASAHAN,2026-01-13,
TAPANULI SELATAN,2026-01-13,
MANDAILING NATAL,2026-01-13,
TAPANULI UTARA,2026-01-13,
TAPANULI TENGAH,2026-01-13,
NIAS,2026-01-13,
DANAU TOBA,2026-01-13,
NIAS BARAT,2026-01-13,
NIAS UTARA,2026-01-13,0.7142857142857143
PADANG LAWAS,2026-01-13,
PADANG LAWAS UTARA,2026-01-13,
LABUHAN BATU UTARA,2026-01-13,
LABUHAN BATU SELATAN,2026-01-13,
SERDANG BEDAGAI,2026-01-13,
SAMOSIR,2026-01-13,
BATU BARA,2026-01-13,
BINJAI,2026-01-17,
MEDAN,2026-01-17,
GUNUNGSITOLI,2026-01-17,
PADANGSIDIMPUAN,2026-01-17,
TANJUNG BALAI,2026-01-17,
SIBOLGA,2026-01-17,
TEBING TINGGI,2026-01-17,
PEMATANG SIANTAR,2026-01-17,
NIAS SELATAN,2026-01-17,
LANGKAT,2026-01-17,
PAKPAK BHARAT,2026-01-17,
HUMBANG HASUNDUTAN,2026-01-17,
DAIRI,2026-01-17,
DELI SERDANG,2026-01-17,
KARO,2026-01-17,
LABUHAN BATU,2026-01-17,0.8894255244064526
TOBA SAMOSIR,2026-01-17,
SIMALUNGUN,2026-01-17,
ASAHAN,2026-01-17,0.7019389038173202
TAPANULI SELATAN,2026-01-17,0.8756749968604797
MANDAILING NATAL,2026-01-17,
TAPANULI UTARA,2026-01-17,
TAPANULI TENGAH,2026-01-17,
NIAS,2026-01-17,
DANAU TOBA,2026-01-17,
NIAS BARAT,2026-01-17,
NIAS UTARA,2026-01-17,
PADANG LAWAS,2026-01-17,
PADANG LAWAS UTARA,2026-01-17,0.7425933826588154
LABUHAN BATU UTARA,2026-01-17,0.8258769620124047
LABUHAN BATU SELATAN,2026-01-17,0.6623537081716668
SERDANG BEDAGAI,2026-01-17,
SAMOSIR,2026-01-17,
BATU BARA,2026-01-17,
BINJAI,2026-01-25,
MEDAN,2026-01-25,
GUNUNGSITOLI,2026-01-25,
PADANGSIDIMPUAN,2026-01-25,
TANJUNG BALAI,2026-01-25,
SIBOLGA,2026-01-25,
TEBING TINGGI,2026-01-25,
PEMATANG SIANTAR,2026-01-25,
NIAS SELATAN,2026-01-25,0.8888888888888888
LANGKAT,2026-01-25,
PAKPAK BHARAT,2026-01-25,
HUMBANG HASUNDUTAN,2026-01-25,
DAIRI,2026-01-25,
DELI SERDANG,2026-01-25,
KARO,2026-01-25,
LABUHAN BATU,2026-01-25,
TOBA SAMOSIR,2026-01-25,
SIMALUNGUN,2026-01-25,
ASAHAN,2026-01-25,
TAPANULI SELATAN,2026-01-25,
MANDAILING NATAL,2026-01-25,
TAPANULI UTARA,2026-01-25,
TAPANULI TENGAH,2026-01-25,
NIAS,2026-01-25,
DANAU TOBA,2026-01-25,
NIAS BARAT,2026-01-25,
NIAS UTARA,2026-01-25,
PADANG LAWAS,2026-01-25,
PADANG LAWAS UTARA,2026-01-25,
LABUHAN BATU UTARA,2026-01-25,
LABUHAN BATU SELATAN,2026-01-25,
SERDANG BEDAGAI,2026-01-25,
SAMOSIR,2026-01-25,
BATU BARA,2026-01-25,
BINJAI,2026-01-25,
MEDAN,2026-01-25,
GUNUNGSITOLI,2026-01-25,
PADANGSIDIMPUAN,2026-01-25,
TANJUNG BALAI,2026-01-25,
