PROVINCE,NAME_1,NAME_2,mean,median,stdDev,p10,p25,p75,p90,count
Sumatera Barat,Sumatera Barat,Agam,48.15552527376106,47.7196440263228,32.063113583776456,0.010149071509316186,21.730194676873143,74.2908701578776,95.76014436027103,6619
Sumatera Barat,Sumatera Barat,Dharmasraya,41.62991562162013,35.25122311483639,33.21820171588702,0.010436611448920427,12.255742081574983,66.67188786855881,100.0,15481
Sumatera Barat,Sumatera Barat,Kepulauan Mentawai,62.45567729830733,67.75791295175621,32.70498796918777,9.251625446358112,38.223197226606445,94.24974335693541,100.00000000000003,63039
Sumatera Barat,Sumatera Barat,Lima Puluh Kota,,,,,,,,0
Sumatera Barat,Sumatera Barat,Padang Pariaman,36.24532540123419,33.95416259765625,28.194965148008833,0.0,10.5958716544238,54.39676284790038,75.0,190
Sumatera Barat,Sumatera Barat,Pasaman,,,,,,,,0
Sumatera Barat,Sumatera Barat,Pasaman Barat,51.438502692492975,50.68882030910916,35.94276778860808,0.008014734096403391,18.033223470052082,86.71211496988933,100.0,2590
Sumatera Barat,Sumatera Barat,Pesisir Selatan,61.78187636617045,67.25617602236788,32.904846475341465,7.72045757979331,36.2474226958282,93.75414102808764,99.90546730669293,80116
Sumatera Barat,Sumatera Barat,Sijunjung,56.74318306498551,57.71079956518637,33.41134762219182,1.2336155772209167,32.76955540974935,88.72584533691406,99.99028969411715,2761
Sumatera Barat,Sumatera Barat,Solok,60.665374082821806,66.68095124526276,35.41719355138214,0.00431099293622362,32.242732181408,98.73318035396427,100.00000000000001,25000
Sumatera Barat,Sumatera Barat,Solok Selatan,66.73256478633046,81.28912326400076,36.731513533257484,0.005228492933751819,35.757174711341584,99.91205413709905,100.00000000000001,29841
Sumatera Barat,Sumatera Barat,Tanah Datar,,,,,,,,0
Sumatera Barat,Sumatera Barat,Bukittinggi,,,,,,,,0
Sumatera Barat,Sumatera Barat,Kota Solok,,,,,,,,0
Sumatera Barat,Sumatera Barat,Padang,67.53720032010277,73.19774788304379,29.83027620100275,23.73984597332459,49.74445104598999,95.79788539436835,99.98840915612944,4291
Sumatera Barat,Sumatera Barat,Padang Panjang,,,,,,,,0
Sumatera Barat,Sumatera Barat,Pariaman,,,,,,,,0
Sumatera Barat,Sumatera Barat,Payakumbuh,,,,,,,,0
Sumatera Barat,Sumatera Barat,Sawahlunto,,,,,,,,0
Sumatera Barat,Sumatera Barat,Danau,,,,,,,,0
